Severity,Detected By,Issue Type,File,Line,What This Means
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,448,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,449,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,450,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,451,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,452,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,453,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,454,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,466,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,472,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,scripts/test-config-integration.js,89,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,scripts/test-rules.js,108,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,scripts/test-rules.js,116,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Critical,Secret Scanner,generic-api-key,test-fixtures/rails/config/secrets.yml,2,A secret was committed to git history (commit 560b7622) — still recoverable even though it may be deleted now.
Critical,Secret Scanner,aws-access-token,test-fixtures/bad.py,31,A secret was committed to git history (commit a933837c) — still recoverable even though it may be deleted now.
Low,Duplicate Code Checker,duplicate-code,.github/workflows/ci.yml,27,7 lines duplicated from .github/workflows/self-scan.yml:37-43 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,5,16 lines duplicated from report.html:5-20 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,20,6 lines duplicated from report.html:20-25 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,29,29 lines duplicated from report.html:29-57 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,63,11 lines duplicated from report.html:63-73 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,74,6 lines duplicated from report.html:74-79 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,80,6 lines duplicated from report.html:80-85 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,96,8 lines duplicated from report.html:96-103 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,103,7 lines duplicated from report.html:109-115 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,103,7 lines duplicated from report.html:115-121 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,103,7 lines duplicated from report.html:121-127 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,103,6 lines duplicated from report.html:127-132 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,104,6 lines duplicated from docs/index.html:110-115 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,104,6 lines duplicated from docs/index.html:122-127 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,109,6 lines duplicated from docs/index.html:115-120 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,109,7 lines duplicated from docs/index.html:127-133 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,116,6 lines duplicated from docs/index.html:134-139 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,116,6 lines duplicated from report.html:134-139 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,121,6 lines duplicated from docs/index.html:133-138 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,121,7 lines duplicated from docs/index.html:139-145 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,121,7 lines duplicated from docs/index.html:145-151 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,121,7 lines duplicated from docs/index.html:151-157 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,121,7 lines duplicated from report.html:139-145 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,121,7 lines duplicated from report.html:145-151 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,121,7 lines duplicated from report.html:151-157 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,121,7 lines duplicated from report.html:157-163 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,121,7 lines duplicated from report.html:163-169 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,121,7 lines duplicated from report.html:169-175 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,121,7 lines duplicated from report.html:175-181 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,121,7 lines duplicated from report.html:181-187 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,121,7 lines duplicated from report.html:187-193 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,121,7 lines duplicated from report.html:193-199 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,121,7 lines duplicated from report.html:199-205 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,121,7 lines duplicated from report.html:205-211 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,121,7 lines duplicated from report.html:211-217 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,121,7 lines duplicated from report.html:217-223 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,121,7 lines duplicated from report.html:223-229 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,121,7 lines duplicated from report.html:229-235 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,121,7 lines duplicated from report.html:235-241 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,121,7 lines duplicated from report.html:241-247 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,121,7 lines duplicated from report.html:247-253 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,121,7 lines duplicated from report.html:253-259 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,121,7 lines duplicated from report.html:259-265 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,121,7 lines duplicated from report.html:265-271 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,121,11 lines duplicated from report.html:271-283 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,rules/01-security-smells.yml,2,11 lines duplicated from rules/08-go-smells.yml:103-113 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,rules/01-security-smells.yml,53,10 lines duplicated from rules/01-security-smells.yml:68-77 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,test-fixtures/dup1.js,1,7 lines duplicated from test-fixtures/dup2.js:1-7 — copy-pasted rather than shared/reused code.
