Severity,Detected By,Issue Type,File,Line,What This Means
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,337,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,338,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,339,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,340,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,341,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,342,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,343,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,344,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,356,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,bin/aidebt-scan.js,362,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,scripts/test-config-integration.js,89,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,scripts/test-rules.js,108,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Low,Code Scanner,ai-debt-console-log-debug-leftover,scripts/test-rules.js,116,"console.log/debugger left in source. Individually trivial, but a high density across a codebase correlates strongly with unreviewed AI-generated commits (weight this by frequency, not presence)."
Critical,Secret Scanner,aws-access-token,test-fixtures/bad.py,31,A secret was committed to git history (commit 3e4505cc) — still recoverable even though it may be deleted now.
Critical,Secret Scanner,generic-api-key,test-fixtures/rails/config/secrets.yml,2,A secret was committed to git history (commit 3e4505cc) — still recoverable even though it may be deleted now.
Critical,Secret Scanner,generic-api-key,test-fixtures/rails/config/secrets.yml,2,A secret was committed to git history (commit 560b7622) — still recoverable even though it may be deleted now.
Critical,Secret Scanner,aws-access-token,test-fixtures/bad.py,31,A secret was committed to git history (commit a933837c) — still recoverable even though it may be deleted now.
Low,Duplicate Code Checker,duplicate-code,.github/workflows/ci.yml,32,6 lines duplicated from .github/workflows/self-scan.yml:37-42 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,104,6 lines duplicated from docs/index.html:110-115 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,104,6 lines duplicated from docs/index.html:122-127 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,109,6 lines duplicated from docs/index.html:115-120 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,109,7 lines duplicated from docs/index.html:127-133 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,116,6 lines duplicated from docs/index.html:134-139 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,121,6 lines duplicated from docs/index.html:133-138 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,121,7 lines duplicated from docs/index.html:139-145 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,121,7 lines duplicated from docs/index.html:145-151 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,docs/index.html,121,7 lines duplicated from docs/index.html:151-157 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,rules/01-security-smells.yml,2,11 lines duplicated from rules/08-go-smells.yml:103-113 — copy-pasted rather than shared/reused code.
Low,Duplicate Code Checker,duplicate-code,rules/01-security-smells.yml,53,10 lines duplicated from rules/01-security-smells.yml:68-77 — copy-pasted rather than shared/reused code.
